,"NOM","PRENOM","DATES CF","SEXE"
"P0328","GERBAULT","Paul","1910-1933","masculin"
"P0574","REVONNE","Mlle","1910-1913","feminin"
"P0187","DECARD","Paul","1908-1911","masculin"
"P0365","HUGUENET","Félix","1908-1910","masculin"
"P0436","LIFRAUD","Yvonne","1907-1916","feminin"
"P0312","GARAY","Georges","1907-1915","masculin"
"P0556","PROVOST","Jeanne","1907-1912","feminin"
"P0283","FERAUDY","Jacques de","1907-1911","masculin"
"P0531","NUMA","Paul","1905-1933","masculin"
"P0062","BERGE","Ferdinande","1905-1911","feminin"
"P0450","MAILLE","Constance","1904-1919","feminin"
"P0151","CLARY","Francine","1904-1910","feminin"
"P0176","DALTI","Mitzy","1904-1910","feminin"
"P0640","SISOS","Raphaëlle","1903-1906","feminin"
"P0275","FAVA","Juliette de","1903-1904","feminin"
"P0319","GARRICK","Yvonne","1902-1906","feminin"
"P0406","LAUMONIER","Georges","1902-1904","masculin"
"P0216","DESPRES","Suzanne","1902-1903","feminin"
"P0435","LHERBAY","Marcelle","1901-1937","feminin"
"P0320","GARRY","Claude","1901-1906","masculin"
"P0569","REGNIER","Marthe","1901-1903","feminin"
"P0295","FOUQUIER","Henriette","1900-1901","feminin"
"P0567","RAVET","Henri","1899-1919","masculin"
"P0181","DARLAUD","Jeanne","1899-1900","feminin"
"P0359","HENRIOT","Jane","1899-1900","feminin"
"P0405","LATY","Anthelme Edouard","1898-1908","masculin"
"P0277","FAYLIS","Mlle","1896-1912","feminin"
"P0089","BONCZA","Wanda de","1896-1902","feminin"
"P0407","LAURENT","Antonia","1896-1897","feminin"
"P0322","GAUDY","Emile Joseph","1895-1914","masculin"
"P0264","ESQUIER","Charles","1894-1910","masculin"
"P0398","LAINE-LUGUET","Albertine","1893-1898","feminin"
"P0683","VEYRET","Paul","1893-1898","masculin"
"P0654","THOMSEN","Alberte","1893-1896","feminin"
"P0354","HADING","Jane","1892-1897","feminin"
"P0235","DRUNZER","Gabrielle","1891-1892","feminin"
"P0514","MORENO","Marguerite","1890-1903","feminin"
"P0163","COQUELIN","Jean","1890-1892","masculin"
"P0323","GAUDY","Caroline","1890-1891","feminin"
"P0444","LYNNES","Marguerite","1889-1911","feminin"
"P0453","MALCK","Berthe","1889-1892","feminin"
"P0458","MARAIS","Léon Hyacinthe","1889-1891","masculin"
"P0647","TESSANDIER","Aimée","1889-1890","feminin"
"P0104","BOYER","Rachel","1888-1918","feminin"
"P0070","BERTINY","Jeanne","1888-1903","feminin"
"P0475","MARTEL","Nancy","1888-1902","feminin"
"P0155","COCHERIS","Eugène","1888-1891","masculin"
"P0419","LEGAULT","Maria","1887-1889","feminin"
"P0353","HADAMARD","Zélie","1886-1900","feminin"
"P0297","FOURNIER","Marie","1886-1887","feminin"
"P0386","KESLY","Jane","1886-1887","feminin"
"P0543","PERSOONS","Isabelle","1885-1914","feminin"
"P0340","GRAVOLLET","Paul","1885-1893","masculin"
"P0152","CLERH","Eugène","1884-1900","masculin"
"P0518","MOUNET","Mme Paul","1884-1885","feminin"
"P0271","FALCONNIER","Pierre rené","1883-1919","masculin"
"P0623","SAMARY","Henry","1883-1893","masculin"
"P0114","BRUCK","Rosa","1883-1886","feminin"
"P0653","THOMAS","Georges Alexandre","1883-1885","masculin"
"P0109","BRINDEAU","Jeanne","1883-1884","feminin"
"P0134","CHARTIER","Suzanne","1883-1884","feminin"
"P0356","HAMEL","Augustin Julien","1882 | 1884-1910","masculin"
"P0256","DURAND","Marguerite","1881-1888","feminin"
"P0185","DAVYLE","Danièle","1881-1887","feminin"
"P0317","GARNIER","Philippe Etienne","1881-1884","masculin"
"P0286","FEYGHINE","Julie","1881-1882","feminin"
"P0023","AMEL","Mme","1880-1910","feminin"
"P0610","ROYER","Eugène","1880-1894","masculin"
"P0429","LEROU","Emilie","1880-1888 | 1892-1902","feminin"
"P0599","ROSAMOND","Mlle","1880-1884","feminin"
"P0301","FREMAUX","Blanche","1878-1899","feminin"
"P0572","RENEY","Paul","1878-1882","masculin"
"P0278","FAYOLLE","Marie-Berthe","1876-1919","feminin"
"P0184","DAVRIGNY","Joseph","1876-1885","masculin"
"P0650","THENARD","Jenny","1876-1884","feminin"
"P0694","VOLNY","Maurice Auguste","1876-1881","masculin"
"P0428","LEONNE","Carle","1876-1878","masculin"
"P0582","RICHARD",,"1874 | 1879-1882","masculin"
"P0688","VILLAIN","Henri","1873-1905","masculin"
"P0592","ROGER cadet",,"1873-1900","masculin"
"P0250","DUPONT-VERNON",,"1873-1897","masculin"
"P0072","BERTON","Pierre","1873-1875","masculin"
"P0601","ROUSSEIL","Roselia","1873-1874","feminin"
"P0374","JOLIET","Auguste","1872-1915","masculin"
"P0472","MARTEL","Caristie","1872-1896","masculin"
"P0077","BIANCA","Mlle","1872-1884","feminin"
"P0473","MARTEL","Léa Caristie","1872-1878","feminin"
"P0081","BLANC","Anna","1872-1875","feminin"
"P0478","MARTIN","Cornélie","1871-1888","feminin"
"P0378","JOUMARD","Ferdinand Joseph","1871-1876","masculin"
"P0133","CHARPENTIER","Alexis-Louis","1870-1877","masculin"
"P0002","ABLINE","Joséphine","1870-1872","feminin"
"P0488","MAZOUDIER","Joseph Gaston, dit aussi Dumoraize","1869-1873","masculin"
"P0008","AGAR","Mme","1869-1872 | 1878-1879 | 1885-1887","feminin"
"P0201","DELMARY","Marie","1868-1871","feminin"
"P0360","HERICOURT","Marguerite Isabelle","1868-1871","feminin"
"P0389","KIME","Alphonse de Blonde, dit","1867-1876","masculin"
"P0224","DEWINTRE","Mlle","1867-1872","feminin"
"P0193","DELAPORTE","Marie","1867-1868","feminin"
"P0483","MASSET","Charles","1866-1869","masculin"
"P0253","DUQUESNOIS","Marguerite","1866-1868","feminin"
"P0197","DELESSART","Léon","1866-1867","masculin"
"P0563","RAMELLI","Edmée","1865-1868","feminin"
"P0028","ANGELO","Valentine","1865-1867","feminin"
"P0633","SENECHAL","Guillaume Etienne","1864-1869","masculin"
"P0054","BARRETTA","Rose","1864-1868","feminin"
"P0346","GUERIN","Jules","1864-1866","masculin"
"P0027","ANDRIEU","Charles","1864-1865","masculin"
"P0084","BLOCK","Hélène","1864-1865","feminin"
"P0400","LAMY","Octave","1864-1865","masculin"
"P0331","GIBEAU","Charles","1863-1872","masculin"
"P0636","SEVESTE","Didier","1863-1871","masculin"
"P0679","VERDELLET fils","Claudius","1863-1866","masculin"
"P0195","DELAUNAY","Gabriel","1863-1864","masculin"
